,int,int_label,has_participant,participant_label,has_dissociation_constant,dissociation_constant_value,dissociation_constant_error,is_confirmed_by,is_outcome_of
2090,http://rdf.freebase.com/ns/m.0gkmcdv,11178986-SialylLewisX-Interaction-2,http://rdf.freebase.com/ns/m.0gkmcd_,11178986-SialylLewisX-2,http://rdf.freebase.com/ns/m.0gkmct1,2.3e-09,,http://rdf.freebase.com/ns/m.0gkmccy,http://rdf.freebase.com/ns/m.0d57rw_
2091,http://rdf.freebase.com/ns/m.0gkmcdv,11178986-SialylLewisX-Interaction-2,http://rdf.freebase.com/ns/m.0gkmcd_,11178986-SialylLewisX-2,http://rdf.freebase.com/ns/m.0gkmct1,2.3e-09,,http://rdf.freebase.com/ns/m.0gkmcd6,http://rdf.freebase.com/ns/m.0d57rw_
2092,http://rdf.freebase.com/ns/m.0gkmcfj,11178986-SialylLewisX-Interaction-3,http://rdf.freebase.com/ns/m.0gkmcfp,11178986-SialylLewisX-3,http://rdf.freebase.com/ns/m.0gkmcws,3.9e-09,,http://rdf.freebase.com/ns/m.0gkmccy,http://rdf.freebase.com/ns/m.0d57rw_
2093,http://rdf.freebase.com/ns/m.0gkmcfj,11178986-SialylLewisX-Interaction-3,http://rdf.freebase.com/ns/m.0gkmcfp,11178986-SialylLewisX-3,http://rdf.freebase.com/ns/m.0gkmcws,3.9e-09,,http://rdf.freebase.com/ns/m.0gkmcd6,http://rdf.freebase.com/ns/m.0d57rw_
2094,http://rdf.freebase.com/ns/m.0gkmcly,11178986-SialylLewisX-Interaction-8,http://rdf.freebase.com/ns/m.0gkmcm2,11178986-SialylLewisX-8,http://rdf.freebase.com/ns/m.0gkmd6s,7.4e-09,,http://rdf.freebase.com/ns/m.0gkmccy,http://rdf.freebase.com/ns/m.0d57rw_
2095,http://rdf.freebase.com/ns/m.0gkmcly,11178986-SialylLewisX-Interaction-8,http://rdf.freebase.com/ns/m.0gkmcm2,11178986-SialylLewisX-8,http://rdf.freebase.com/ns/m.0gkmd6s,7.4e-09,,http://rdf.freebase.com/ns/m.0gkmcd6,http://rdf.freebase.com/ns/m.0d57rw_
2096,http://rdf.freebase.com/ns/m.0gkmcnk,11178986-SialylLewisX-Interaction-10,http://rdf.freebase.com/ns/m.0gkmcnq,11178986-SialylLewisX-10,http://rdf.freebase.com/ns/m.0hz7ck_,3.3e-09,,http://rdf.freebase.com/ns/m.0bmct21,http://rdf.freebase.com/ns/m.0d57rw_
2097,http://rdf.freebase.com/ns/m.0gl4drv,14576330-alphaCGRP-Interaction-1,http://rdf.freebase.com/ns/m.0gl4f2s,calcitonin gene-related peptide 1,http://rdf.freebase.com/ns/m.0gl4f8v,2.5e-09,,http://rdf.freebase.com/ns/m.0gl4f9h,http://rdf.freebase.com/ns/m.0gl4dq8
2098,http://rdf.freebase.com/ns/m.0gl4drv,14576330-alphaCGRP-Interaction-1,http://rdf.freebase.com/ns/m.0gl4f4h,14576330-alphaCGRP-1,http://rdf.freebase.com/ns/m.0gl4f8v,2.5e-09,,http://rdf.freebase.com/ns/m.0gl4f9h,http://rdf.freebase.com/ns/m.0gl4dq8
2099,http://rdf.freebase.com/ns/m.0gl4fl2,12873145-ATP-Interaction-1,http://rdf.freebase.com/ns/m.0gl4fsq,12873145-ATP-1,http://rdf.freebase.com/ns/m.0gl4ft9,2e-06,,http://rdf.freebase.com/ns/m.0gl4ft0,http://rdf.freebase.com/ns/m.0gl4fk1
